description,date_announced,country,type,compliance,
"The Swedish Ministry for Foreign Affairs advises against non-essential travel to all countries except for Belgium, France,
Greece, Iceland, Italy, Croatia, Luxembourg, Portugal, Switzerland, Spain, Hungary, Monaco, San Marino and Vatican
City. For countries in EU/EES and Great Britain not mentioned before, the advise against travel expires on July 15th.
For the rest of the countries the advise against travel is extended until August 31st. Countries that was advised against
to travel to before March 14th by the Ministry for Foreign Affairs, the advise against travel is still valid.",6/29/20,Sweden,External Border Restrictions,Voluntary,
"The Swedish ministry of foreign affairs advise against travelling to countries outside UK, EU, EES and Schengen until August 29th. This was anounced on July 14th.",7/14/20,Sweden,External Border Restrictions,Voluntary,
"The Swedish ministry of foreign affairs advise against travel to UK, EU, EES and Schengen countries except for Belgium, France, Greece, Iceland, Italy, Croatia, Monaco, Luxembourg, Portugal, San Marino, Andorra, Spain, Hungary, Poland, Germany and Vatican City. Switzerland is also except due to a separate policy for the country. This was anounced on July 14th, and is valid until July 29th, 2020.",7/14/20,Sweden,External Border Restrictions,Voluntary,
"The Swedish ministry of foreign affairs have advised to avoid unnecessary travel to Switzerland, in order to hindering the spread of coronavirus. This was anounced on July 14th and is valid from July 15th until July 29th, 2020.",7/14/20,Sweden,External Border Restrictions,Voluntary,
The Public Health Agency recommends contact tracing for COVID-19 cases in elderly care facilities in Sweden. This was anounced on May 29th.This applies both to the elderly and to personnell.,5/29/20,Sweden,Health Monitoring,Voluntary,
"The Public Health Agency of Sweden has announced that they are increasing the capacity for laboratory testing of the new coronavirus. The increased capacity is motivated to shorten the transport of tests and because it is desirable for the regions to have capacity and preparedness to perform diagnostics. In total, eight microbiological laboratories will be expanded with the capacity of diagnosing the new coronavirus: Ume "", Uppsala,  ""rebro, Sk ""vde, Halmstad, Lund, Stockholm and Gothenburg. This was announced by the Public Health Agency of Sweden on February 13, 2020.",2/13/20,Sweden,Health Resources,Mandatory,
"The Swedish Armed Forces have conducted a exercise together with the Public Health Agency, Uppsala University Hospital and the Civil Contingencies Agency to establish a temporary, mobile laboratory to be used in case of a large coronavirus outbreak in Sweden. This was anounced on February 26th, shortly after completing the exercise.",2/26/20,Sweden,Health Resources,Mandatory,
"The Swedish Medical Products Agency has together with the regional governments in Sweden and the Swedish Association of Local Authorities and Regions mapped out which drugs that are of extra importance. These drugs will be continually monitored in order to predict, prevent and remediate shortages, after being tasked by the Swedish national government. The mapping took place between March 12th and April 3rd, and was anounced on March 12th, 2020.",3/12/20,Sweden,Health Resources,Mandatory,
The Swedish Armed Forces have provided two lab technicians to the Public Health Agency to support the agency's work in containing the spread of the coronavirus. This was announced on March 13th and the technicians will be transferred from March 17th on (2020).,3/13/20,Sweden,Health Resources,Mandatory,
"Karolinska Institute has, by request from the Swedish National Board of Health and Welfare, launched online courses for workers in the health care and elderly care sectors in how to handle patients and caretakers infected by coronavirus. The request from  the Swedish National Board of Health and Welfare was anounced on March 9th, 2020 and the courses were launched on March 18th, 2020.",3/9/20,Sweden,Health Resources,Mandatory,
Sweden announced it will use domestic producers to produce an additional 200 000 face masks each month from March 19.,3/20/20,Sweden,Health Resources,NA,
"The Swedish Armed Forces have put up a field hospital adjacent to  ""stra sjukhuset in G ""teborg. The field hospital could accomodate a total of 50 patients, of which 20 for intensive care. The field hospital will be handed over to  ""stra sjukhuset on March 27th, 2020. This was announced on March 25th.",3/25/20,Sweden,Health Resources,Mandatory,
"The Swedish Armed Forces have provided a field hospital in Stockholmsm ""ssan,  ""lvsj "" that will be able to receive up to 600 patients when finished. The field hospital is ready to receive patients on March 28th and this was announced on March 25th.",3/25/20,Sweden,Health Resources,Mandatory,
"Sweden is enforcing a limitation on possibilities to retract more prescripted medications from pharmacies than you need for three months, starting on April 1.",4/1/20,Sweden,Health Resources,Mandatory,
"The Swedish Medical Products Agency has limited the prescription of Chloroquine and Hydrochloroquine to be allowed only by doctors with ""a certain speciality. The reason is that the medication has been prescribed to COVID-19 related patients even though the medication is not approved to  treat the disease, which leads to a risk of shortage of the medications. This was anounced on April 2nd and is valid until October 31st, 2020.",4/2/20,Sweden,Health Resources,Mandatory,
"The Swedish armed forces have delivered masks and other protective material to J ""nk ""ping, Kronoberg and Sk ""ne Regions. This was announced on April 8th, 2020 and the delivery occured on April 5th.",4/8/20,Sweden,Health Resources,Mandatory,
The Public Health Agency in Sweden have started using mobility data from cell phones provided by the telekom company Telia in order to make better decisions to hinder the spread of coronavirus. This was anounced on April 8th.,4/8/20,Sweden,Health Resources,Mandatory,
"The Swedish Medical Products Agency has, together with the Swedish Board of Agriculture, has asked veterinarians to be extra restrictive to prescribe medication to animals that is also approved to be used on humans in order to support the healthcare sector during the coronavirus outbreak. This was published on April 8th 2020.",4/8/20,Sweden,Health Resources,Voluntary,
"The Swedish Armed Forces have adapted several helicopters to give them the possibility to transport COVID-19 patients. This was announced on April 17th, 2020.",4/17/20,Sweden,Health Resources,Mandatory,
The Swedish National Board of Health and Welfare have on behalf of the Government been instructed to lead an expansion of capacities of beds for intensive care beginning March 20.,3/20/20,Sweden,Health Resources,NA,
"The Swedish Armed Forces have supported Norrbotten, S ""dermanland and Sk ""ne Regions with a total of 12 extra ambulances. This was announced on April 24th, 2020.",4/24/20,Sweden,Health Resources,Mandatory,
"The Swedish Medical Products Agency has decided to temporarily allow that manuals for medical products may be written in English, Danish or Norwegian if the product is going to be used by trained helathcare personell to treat COVID-19 patients. This was anounced on May 20th, and is valid from May 20th until December 31st 2020.",5/20/20,Sweden,Health Resources,Mandatory,
The Swedish Medical Products Agency has decided to prohibit the sales of four kinds of face masks that had been stopped in a control by the Swedish Customs due to a lack of proper documentation and certification. The masks had not yet been sold to any customers. This was anounced on June 5th.,6/5/20,Sweden,Health Resources,Mandatory,
The Swedish Public Health Agency has recommended the healthcare system to test Swedes who have been to Northern Italy and is developing COVID-19 symptoms within 14 days after coming home. The recommendation was announced on March 3rd but started on March 2nd.,3/3/20,Sweden,Health Testing,Voluntary,
The Public Health Agency of Sweden announced that they will increase testing of COVID-19 by instructions from the government on March. 31,3/31/20,Sweden,Health Testing,Mandatory,
"The Public Health Agency in Sweden are sampling 4000 individuals to test for coronavirus, in order to assess the spread in the country. This was anounced on April 7th. The sampling is similar to a smaller investigation conducted by the Agency previously in the Stockholm area. The Swedish Armed Forces will aid the Public Health Agency in conducting the sampling.",4/7/20,Sweden,Health Testing,Voluntary,
"The Public Health Agency in Sweden has anounced a investigation for antibodies in Sweden nationally, from May 3rd until June 28th, in order to assess how many in the population that has COVID-19. This was anounced on May 20th. The investigation is conducted by analysing blood samples in nine regions: J ""mtland, J ""nk ""ping, Kalmar, Sk ""ne, Stockholm, Uppsala, V ""sterbotten, V ""stra G ""taland och  ""rebro. The investigation is conducted in cooperation with SciLifeLab and Kungliga Tekniska H ""gskolan.",5/20/20,Sweden,Health Testing,Mandatory,
"The Public Health Agency recommends health screening for COVID-19 cases in elderly care facilities in Sweden. This was anounced on May 29th.This applies both to the elderly and to personnell, that either moves in or are returning from healthcare.",5/29/20,Sweden,Health Testing,Voluntary,
"The Public Health Agency in Sweden has recommended increased testing in elderly care, both among elderly and personell. They have also published information to help elderly care centers implement testing in their facilities. This was anounced on May 29th.",5/29/20,Sweden,Health Testing,Voluntary,
The Swedish National Parliament has accepted a proposal from the Government to change the national budget in order to grant the regional governments an additional SEK 60 million to increase the testing capacity. The new budget was decided upon on June 17th and is valid from June 22nd until the end of the year.,6/17/20,Sweden,Health Testing,Mandatory,
"The Swedish Public Health Agency are sampling 4000 for testing in order to assess the spread of coronavirus in Sweden. The sampling is conducted between July 29th and July 31st. This was anounced on July 29th, 2020.",7/29/20,Sweden,Health Testing,Voluntary,
"The Swedish Public Health Agency has initiated a sampling of individuals for testing of coronavirus in order to assess the spread in Swedish society. 4000 individuals will be sampled from a panel of participants. This will take place from August 28th until the beginning of October, and was anounced on August 28th, 2020.",8/28/20,Sweden,Health Testing,Voluntary,
"The Public Health Agency in Sweden has on March 24th anounced recommendations for workouts, exercises, sporting and small-scale sporting events. They are to continue, but those that are sick should not participate, those over 70 shouldn't take part in indoors activities, water bottles and similar shouldn't be shared among participators, contact is to be minimized, crowding avoided and sanitary facilities provided. Sporting facilities such as gyms can be kept open and small-scale events can still take place.",3/24/20,Sweden,Hygiene,Voluntary,
"The Public Health Agency in Sweden have recommended not to travel within the country unless necessary, due to the risk of spreading coronavirus to other geographical regions within the country.",3/19/20,Sweden,Internal Border Restrictions,Voluntary,
"The Swedish Armed Forces has, after being adviced by the Public Health Agency, decided to make conscripts stay for an additional 14 days in the garrison in order to decrease the risk of coronavirus spreading between the regions in Sweden. This was anounced on April 3rd and the conscripts will stay until April 17th, 2020.",4/3/20,Sweden,Lockdown,Mandatory,
"The Government of Sweden has decided to allow for school closures of all schools in the country, a region or singular schools depending on the need to hinder the spread of the coronavirus. The decision could be taken by the Government, a Region, a Municipality, a Headmaster or an expert agency such as the Public Health Agency. The decree was published on March 13th 2020, and is valid from March 16th 2020 until 30th of June 2021. It also allows the school(s) to offer distance education, have tuition on weekends, public holidays and/or extending the school semester in order to provide the pupils their right to education.",3/13/20,Sweden,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"The Public Health Agency of Sweden has presented a new advisory group, that will consist of external experts to support the agency's decision making. This was anounced on April 17th, 2020. The new advisory groupe will however not be given any direct decision-making power.",4/17/20,Sweden,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"The Swedish Parliament has decided to grant the Swedish Governement the authorization to sign an agreement on COVID-19 vaccine and to grant the Public Health Authority the possibility to lend up to SEK 2 billion at the Swedish National Debt Office. The decision was made on June 23rd and is part of a change in the national budget, which expires at the end of the year.",6/23/20,Sweden,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"The Public Health Agency of Sweden have written information available at the Arlanda airport for travellers on how to act if one has visited an area affected by the new coronavirus and then develops symptoms. As of February 24th, this applies to China and some parts of South Korea, Italy and Iran. The Public Health Agency of Sweden recommmends those that have visited any of those places to call 1177 V ""rdguiden for assessment.",2/24/20,Sweden,Public Awareness Measures,Voluntary,
"The Government of Sweden has decided to issue a public annuncement to: stay home if having symptoms; avoid non-necessary visits to nursing homes and hospitals; and to often wash hands with soap and water. The public announcement was announced on March 15th in accordance with the Public Health Agency, the Swedish Civil Contingencies Agency and the National Board of Health and Welfare. The Swedish Civil Contingencies Agency has the responsibility to spread the public announcement to anyone currently in Sweden and to establish effective channels of communication with the public.",3/15/20,Sweden,Public Awareness Measures,Voluntary,
"The Swedish Medical Products Agency have published information that antipyretic drugs, that alleviates fever, are neither beneficial or harmful effects on COVID-19 as of the current scientific data. The information was published due to questions brought to the agency. This was published on March 16th, 2020.",3/16/20,Sweden,Public Awareness Measures,Voluntary,
"The Swedish Medical Products Agency has published a warning that a self-test for COVID-19 is not enough to be considered a diagnosis of the disease. This was anounced on March 19th, 2020.",3/19/20,Sweden,Public Awareness Measures,Voluntary,
"The Swedish Medical Products Agency has anounced an encouragement for doctors and patients to keep up the treatments with ACE inhibitors and Angiotensin II receptor blockers even though the patient is diagnosed with COVID-19, since there are no clinical evidence that prove any harmful effects of the medications on patients with COVID-19. This was anounced on March 23rd, 2020.",3/23/20,Sweden,Public Awareness Measures,Voluntary,
The Public Health Agency in Sweden has informed the public that the vaccines against the flu or pneumococci doesn't help against the lung infection caused by the coronavirus. The Agency points out that there is no vaccine against the coronavirus yet. This was anounced on March 26th.,3/26/20,Sweden,Public Awareness Measures,Voluntary,
"The Swedish Medical Products Agency have published information stating that Chloroquine and Hydroxychloroquine should not be used for self-medication, and that it should only be used to patients who are participating in clinical studies. This was anounced on April 2nd, 2020.",4/2/20,Sweden,Public Awareness Measures,Mandatory,
"The Swedish Medical Products Agency discourages the public and companies to buy and use self-testing kits for the coronavirus, since they don't live up to the standards for self-testing kits. Using and misinterpreting immunity to coronavirus might lead to a wider spread of the virus. This information was anounced on April 21st, 2020.",4/21/20,Sweden,Public Awareness Measures,Voluntary,
"The Swedish Medical Products Agency advises against self-testing to prove COVID-19. Such tests can be purchased on the internet, but you run the risk of doing more harm than good because they are not reliable enough, states the agency. This public awareness anouncement was published on April 22nd, 2020.",4/22/20,Sweden,Public Awareness Measures,Voluntary,
"Sweden's Public Health Agency have published information regarding Walpurgis night, first of May demonstrations and Ramadan with Eid al-Fitr. The Agency ask people to avoid parties and not to form crowds. They highlight the importance of social distance even tohugh it's outdoors. They also remind that mosques will be closed.",4/23/20,Sweden,Public Awareness Measures,Voluntary,
"The Swedish Medical Products Agency encourages the public to report suspected side effects of medication to COVID-19 that they experience during treatment. The side effects ould both be reported to healthcare personell or directly to the Medical Products Agency. This was anounced on April 24th, 2020.",4/24/20,Sweden,Public Awareness Measures,Voluntary,
Sweden's Public Health Agency has informed the public that graduation ceremonies from schools are recommended to be held small and to avoid crowding. Private events to celebrate the graduation is also seen as unsuitable. Individuals in risk groups are recommended not to participate in graduation ceremonies at all. This public awareness anouncement was published on April 28th.,4/28/20,Sweden,Public Awareness Measures,Voluntary,
"Sweden's Public Health Agency have published information recommending pregnant individuals with risk factors (obesity, high blood pressure or diabetes, etc.) to be extra careful to avoid the virus. This was stated on April 29th.",4/29/20,Sweden,Public Awareness Measures,Voluntary,
"The Public Health Agency in Sweden has published updated information to the public regarding the immunity and antibodies and the coronavirus. According to the Agency, a person who have antibodies after a COVID-19 infection is regarded to have an increased protection against the coronavirus that is estimated to decrease gradually during the first year. Longer term protection varies, depending on the individual. This was anounced to the public on May 4th, and is based on research from Karolinska Institutet.",5/4/20,Sweden,Public Awareness Measures,Voluntary,
"Sweden's Public Health Agency, together with Stockholm Region, have created a national phone number where Swedish citizens can call to get information about the coronavirus. The number is aimed at non-Swedish speakers and has telephonists speaking six languages: Arabic, Somali, Persian, Tigrinya and Russian. Swedish speakers already have a number for health concerns. This was announced on June 3rd.",6/3/20,Sweden,Public Awareness Measures,Voluntary,
"The Swedish Public Health Agency has published a new guidance on contact tracing as of July 21st, 2020. The guidance specifies that a coronavirus infected individual should take responsibility and inform those that they possibly could have had contact with, and to do it as soon as possible. This guidance take into effect on July 23rd, 2020.",7/21/20,Sweden,Public Awareness Measures,Mandatory,
"The Swedish National Board of Health and Welfare has anounced a clarification due to a misunderstanding of a previously issued regulation regarding the prohibition to visit nursering homes. The Board clarifies that the elderly in nursing homes can leave as they please, by themselves or with personell, but it is prohibited for visitors to visit outside areas belonging to the nursering homes (terraces etc.). This was anounced on August 19th, 2020 due to a confusion in news media.",8/19/20,Sweden,Public Awareness Measures,Voluntary,
"The Swedish Prison and Probation Service has decided to limit the possibility to visit convicts, in order to hinder the spread of the coronavirus. This is due to hinder the loss of personell and protecting convicts, who have a generally lower health status and less possibilities to protect themselves from being exposed.",3/12/20,Sweden,Quarantine,Mandatory,
The Public Health Agency has rekommended people over the age of 70 to limit contact with other people unless absolutely necessary. The recommendation was issued on March 16th,3/16/20,Sweden,Quarantine,Voluntary,
"The Swedish Transport Agency have decided to implement recommendations from EASA to disinfect planes that are returning from destinations with high risk for coronavirus spread. Also, aircraft carriers are encouraged to spread out travellers on flights that are not fully booked and provide disinfection napkins. This was decided on March 13th.",3/13/20,Sweden,Restriction and Regulation of Businesses,Mandatory,
"The Public Health Agency of Sweden has asked those companies that have the possibility to, to recommend their employees to work from home. It would help alleviate the health care system and dampen down the spread of the coronavirus, according to the Agency. This was announced on March 16th.",3/16/20,Sweden,Restriction and Regulation of Businesses,Voluntary,
"The Swedish Medical Agency has decided to prohibit two self-testing kits for coronavirus sold to Swedish customers by the companies ZandCell AB and Dental Clinic Sweden. The testing kits lack proper certification. This was anounced on March 24th, 2020.",3/24/20,Sweden,Restriction and Regulation of Businesses,Mandatory,
"The Public Health Agency in Sweden has decided to lift some rules on production of disinfectants. Producers doesn't, until December 31st 2020, have to denature alcohol for disinfectants and will also be allowed to choose from a wider range of denaturing substances. This was decided and anounced on March 27th, in order to alleviate for producers to meet the increased demand for disinfectants.",3/27/20,Sweden,Restriction and Regulation of Businesses,Mandatory,
"The Swedish Public Health Agency recommends those who can to work from home to avoid crowds during commute and in work places. This was anounced in April 1st and is valid until December 31st, 2020.",4/1/20,Sweden,Restriction and Regulation of Businesses,Voluntary,
"The Swedish Medical Agency has decided to prohibit self-testing kits for coronavirus sold to Swedish customers by
the company lifelab.se. The testing kits lack proper certification. This was anounced on April 9th, 2020.",4/9/20,Sweden,Restriction and Regulation of Businesses,Mandatory,
"The Swedish Medical Products Agency has decided to allow an exception and allow medication to be transferred between pharmacies under certain circumstances. This was anounced on May 6th, and is valid from April 21st until December 31st, 2020.",5/5/20,Sweden,Restriction and Regulation of Businesses,Mandatory,
"The Swedish Medical Agency has decided to prohibit self-testing kits for coronavirus sold to Swedish customers by the
companies Arsan medical AB, Spyder Group and Sypip AB. The testing kits lack proper documentation. This was anounced on May 4th, 2020.",5/4/20,Sweden,Restriction and Regulation of Businesses,Mandatory,
"The Swedish Medical Products Agency has allowed several excemptions from the regular rules for pharmaceutical products, so that some products may have foreign packaging or have outdated manuals. This was anounced on May 5th, 2020.",5/5/20,Sweden,Restriction and Regulation of Businesses,Mandatory,
"The Swedish Medical Agency has decided to prohibit self-testing kits for coronavirus sold to Swedish customers by the company aponea.se. The testing kits lack proper documentation. This was
anounced on May 18th, 2020.",5/18/20,Sweden,Restriction and Regulation of Businesses,Mandatory,
"The Public Health Agency in Sweden has released guidelines for businesses that offer antibody testing for coronavirus antibodies. The guidelines offer information on how to interpret results, the limitations of different tests etc. The Agency published the guidelines on June 8th.",6/8/20,Sweden,Restriction and Regulation of Businesses,Voluntary,
"The Swedish National Parliament has approved a law proposal from the Govenrment, stating that restaurant, bar and other serving places owners have responsibility to limit crowding and have routines in place to hinder the spread of coronavirus. The municipal governments together with Police are to be enforcers of the new law. The law is valid from July 1st until the end of the year and was decided on June 17th (2020).",6/17/20,Sweden,Restriction and Regulation of Businesses,Mandatory,
"The Swedish Parliament has approved a proposal to extend the mineral exploration rights that would otherwise be expiring after July 1st, 2020 to be extended for another year. However, coal and oil exploration rights are except from the extension. The reason is that prospecting companies otherwise risk to be heavily impacted by the spread of the coronavirus. The extension is valid from July 1st, 2020 and the Parliament made the decision on June 23rd, 2020.",6/23/20,Sweden,Restriction and Regulation of Businesses,Mandatory,
"The Swedish Public Health Authority has published their guidelines on how caf ""s, restaurants, bars and other places that serves food and drinks are to regulate their businesses in order to hinder the spread of the coronavirus. These guidelines specify the implementation of a previous law regarding the matter and are therefore comulsory. Local authorities and the Police are therefore responsible to make sure that the guidlines are followed, as stated in the previous law. This was anounced on July 2nd, and the guidelines are valid from July 7th, and is dependent on the previously decided temporary law which expires by the end of 2020.",7/2/20,Sweden,Restriction and Regulation of Businesses,Mandatory,
"The Swedish Armed Forces decided to put the Swedish Home Guard's education and operations on hold from March 23rd, 2020 until August 31st, 2020 due to the risk of coronavirus transmission. This was decided on April 7th.",4/7/20,Sweden,Restriction and Regulation of Government Services,Mandatory,
"The Swedish Government has decided to extend the validity periods for seamens' and ships' certificates for six months, to give them time to qualify for a extension that involves (among other things) doctor visits and education that now is more difficult to get due to the coronavirus. This was decided on March 26th 2020.",3/26/20,Sweden,Restriction and Regulation of Government Services,Mandatory,
"The Swedish Authority has decided to implement a EU regulation to extend the validity of driving licenses and vehicle inspections that was due between February 1st and August 31st for an additional 7 months. This applies from June 4th and was originally published on June 1st, 2020.",6/1/20,Sweden,Restriction and Regulation of Government Services,Mandatory,
"The Swedish National Board of Health and Welfare has allowed for self-testing for cervical cancer (Human papillomavirus infection), the screening of which had been stopped in several regions due to a focus on the coronavirus. It is also due to difficulties of receiving patients for human papillomavirus caused by the coronavirus pandemic. The new guidance is valid from June 30th, 2020 until June 30th, 2021. This was anounced on June 30th, 2020.",6/30/20,Sweden,Restriction and Regulation of Government Services,Mandatory,
"Sweden announces restrictions to public gatherings, with a limitation of 500 people, going into effect on March. 12",3/11/20,Sweden,Restrictions of Mass Gatherings,NA,
"After recommendation from the Public Health Agency of Sweden, the Swedish Sports Confederation has decided to cancel or postpone all sports contests, competitive games and similar in Sweden in all kinds of sports. Except from this is friendly games, that are recommended to be postponed but can take place if the recommendations from the Public Health Agency is followed otherwise, including the recommendation to limit gatherings to a maximum to 50 persons. This was anounced on April 2nd, and was valid until June 14th when the Public Health Agency changed its recommendations.",4/2/20,Sweden,Restrictions of Mass Gatherings,Mandatory,
"The Public Health Agency in Sweden has recommended not to celebrate the spring's holidays, for example easter, ramadan, eid al-fitr, pesach and others with friends and family. Instead, the Agency recommends everyone to be mindful to hinder the spread of the coronavirus. This was anounced on April 9th, 2020.",4/9/20,Sweden,Restrictions of Mass Gatherings,Voluntary,
"The Swedish Transport Authority has decided to stop carneval wagons and other celebratory platforms pulled by another vehicle. This includes the traditional studentflak for graduates from upper secondary school. This was announced on May 14th, and the prohibition runs from May 15th to 31st of December 2020. It was decided after a recommendation from the Public Health Authority, who wants to hinder crowding on and around platforms.",5/14/20,Sweden,Restrictions of Mass Gatherings,Mandatory,
"Sweden's Public Health Agency introduced a policy that only allows table service at restaurants, bars, night clubs, and caf ""s from March 24.",3/24/20,Sweden,Social Distancing,Mandatory,
"The Public Health Agency in Sweden have released recommendations for travelling in the summer. The Agency recommends that people walk, bike and avoid public transport. If public transport is to be used, it is preferrable to book a seat, if possible. This was announced on June 11th, and are valid from June 13th.",6/11/20,Sweden,Social Distancing,Voluntary,
"The Swedish Public Health Agency has released new voluntary recommendations for choir leaders and participants in order to make choir repetition and practice as safe from coronavirus transmission as possible. They recommend at least 2 metre distance between participants, and that it is better to have choirs singing outside or in large venues with good ventilation rather than inside smaller venues. This was anounced on August 13th.",8/13/20,Sweden,Social Distancing,Voluntary,
The Swiss Federal council announces on March 13th that all schools will be closed effective immediately until at least April 4th.,3/13/20,Switzerland,Closure and Regulation of Schools,Mandatory,
"March 16 Switzerland Schaffhausen, school closure",3/16/20,Switzerland,Closure and Regulation of Schools,Mandatory,
"""At its meeting on April 29, 2020 the Swiss Federal Council decided to further ease the measures introduced to protect the population against the coronavirus. From Monday, May 11 in schools of the upper secondary level (age above 16) and the tertiary level as well as other training facilities, classes involving up to five students, including music lessons can resume. Exams can be held, provided the rules on hygiene and social distancing are respected. Classes involving larger groups should be possible from 8 June.""",4/29/20,Switzerland,Closure and Regulation of Schools,Mandatory,
"on February 28, 2020 the Swiss federal council declares a ""special situation"" (spezielle Lage) , the first step in the epidemics act, allowing the federal council to take over some competences from the cantonal level.",2/28/20,Switzerland,Declaration of Emergency,Mandatory,
"On June 19, 2020  the Swiss Federal Council announced the return to the ""particular situation"" [spezielle Lage] according to Swiss Epidemics Act the same day.
( the extraordinary situation is ended)

",6/19/20,Switzerland,Declaration of Emergency,Mandatory,
"On January 25, 2020 the Swiss Federal Office of Health recommended on its webside not to travel to Wuhan/Chine and recommends precautionary measures for all persons travelling to Chine.",1/25/20,Switzerland,External Border Restrictions,Voluntary,
"On February 4, 2020 the Swiss Federal Office of Health recommended on its webside not to travel to the province Hubei/China and recommends precautionary measures for all persons travelling to China.				
				
",2/4/20,Switzerland,External Border Restrictions,Voluntary,
"Since the 9th of March 2020, the swiss border controls set up a monitoring system to monitor the effectiveness of the Italian measures. The border control (EZV) uses intensified sampling and checks that are carried out on a risk basis at the border to Italy. An example of such measures would be the checking of passports and work permits.",3/8/20,Switzerland,External Border Restrictions,Voluntary,
"The swiss federal council decided that from the 11th of March 2020 on Switzerland cross-border travelling from Italy to Switzerland will be limited to only a few borders crossings. The small border crossings will be closed and the border traffic will be channeled to the big border crossings. 

Following the closed border crossings -> alternative open border crossings

Pedrinate -> Chiasso strada (Ponte Chiasso)
Ponte Faloppia -> Novazzano Brusata (Bizzarone) or Chiasso strada
Novazzano Marcetto -> Novazzano Brusata (Bizzarone) or Chiasso strada
San Pietro di Stabio -> Stabio Gaggiolo
Ligornetto Cantinetta -> Stabio Gaggiolo
Arzo -> Stabio Gaggiolo or Brusino Arsizio
Ponte Cremenaga -> Fornasette or Ponte Tresa
Cassinone -> Fornasette
Indemini -> Dirinella (Zenna)

Since the 9th of March 2020 the swiss border controls setup a monitoring system to monitor the effectiveness of the Italian measures. The border control (EZV) uses intensified sampling and checks that are carried out on a risk basis. An example of such measures would be the checking of passports.",3/11/20,Switzerland,External Border Restrictions,Mandatory,
"On March 13th 2020, the Swiss Federal Council re-opens federal border checks including Schengen checks, designed to limit incoming and outgoing traffic to Italy. Only Swiss citizens, people with a residence permit in Switzerland and people who have to travel to Switzerland for professional reasons are allowed to enter Italy. Transit and goods traffic are also allowed. Finally, people in a situation of absolute necessity may also enter from Italy.",3/13/20,Switzerland,External Border Restrictions,Mandatory,
"On March 13th 2020, the Swiss Federal Council re-opens federal border checks including Schengen checks, designed to limit incoming and outgoing traffic to Italy. Only Swiss citizens, people with a residence permit in Switzerland and people who have to travel to Switzerland for professional reasons are allowed to enter Italy. Transit and goods traffic are also allowed. Finally, people in a situation of absolute necessity may also enter from Italy.",3/13/20,Switzerland,External Border Restrictions,Mandatory,
"From the 17th of March onwards, the Swiss Federal Council extends the travel ban introduced to Italy to France, Austria and Germany. Entrance remains allowed for Swiss citizens, people with a residence permit in Switzerland, people traveling through Switzerland, and people who have to travel to Switzerland for professional reasons. Transit and goods traffic are also allowed.",3/16/20,Switzerland,External Border Restrictions,Mandatory,
"On March 18, the Swiss Federal Council extends the external border checks introduced to Germany, Austria, Italy and France to foreign travelers from Spain and all non-Schengen states. Entrance remains allowed for Swiss citizens, people with a residence permit in Switzerland, people traveling through Switzerland, and people who have to travel to Switzerland for professional reasons as well as supporting health care workers. Transit and goods traffic are also allowed. Finally, people in a situation of absolute necessity may also enter from these countries.",3/18/20,Switzerland,External Border Restrictions,Mandatory,
"The list of countries considered as risk countries was updated on 23 July 2020 by the Swiss Government. From July 6th on all persons who enter Switzerland and who have been in a high risk country within the last 14 days have to quarantine for 10 days. They have to report to the cantonal authorities that carry out spot checks. Contact details are provided by flights or bus services selected at random. Quarantined persons do not get loss of earnings compensation. Non - compliance can be fined.
Excepted are persons who
professionally transport people or goods across borders
whose activity is necessary the functionality of the health system, public security or some international institutions
have stayed in a risk country in the course of their professional activity in companies involved in rail, bus, ship or air transport 
have to travel to Switzerland daily or up to 5 days for occupational or medical necessities
transit passengers
just pass through Switzerland
list as of July 23th: Argentina, Armenia, Azerbaijan, Bahrain, Bolivia, Bosnia Herzegovina, Brazil, Chile, Costa Rica, Dominican Republic, Ecuador, El Salvador, Eswatini, Guatemala, Honduras, Iraq, Israel, Cabo Verde, Qatar, Kazakhstan, Kyrgyzstan, Colombia, Kosovo, Kuwait, Luxembourg, Maledives, Mexico, Moldova, Montenegro, North Macedonia, Oman, Palestine, Panama, Peru, Russia, Saudi Arabia, Serbia, South Africa, Suriname, Turks- and Caicos islands (UK), UAE, USA, Puerto Rico, American Virgin Islands",7/22/20,Switzerland,External Border Restrictions,Mandatory,
